Age,Monthly Income,Family size,latitude,longitude,Pin code,Gender_Male,Marital Status_Prefer not to say,Occupation_House wife,Occupation_Self Employeed,Educational Qualifications_Ph.D,Educational Qualifications_Post Graduate,Educational Qualifications_School,Educational Qualifications_Uneducated,Output_Yes,Output
-0.3333333333333333,-0.2000040000800016,0.5,-0.7101871101870966,0.1874285714285216,-0.0786026200873362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.7999959999199984,-0.5,-1.5384615384615294,0.1752380952380733,0.74235807860262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
-0.3333333333333333,-0.2000040000800016,-0.5,0.4141372141371868,-0.3169523809525222,-0.5327510917030568,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
-0.3333333333333333,-0.2000040000800016,-0.5,-0.5455301455301346,0.2361904761905314,-0.0611353711790393,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.3333333333333333,0.8000160003200064,-0.5,0.0216216216216299,0.7420952380952189,0.0786026200873362,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,-0.2000040000800016,-0.5,-0.1064449064449223,0.9264761904762367,0.7248908296943232,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2.6666666666666665,0.7999959999199984,1.0,-0.8465696465696376,0.4571428571428942,0.0087336244541484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6666666666666666,0.3000060001200024,0.5,-1.1060291060290786,-1.6441904761905592,0.462882096069869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.3000060001200024,0.0,0.725155925155906,0.8502857142858267,0.1659388646288209,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.8000160003200064,1.5,-0.2245322245322289,-0.1523809523810369,-0.5502183406113537,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.8000160003200064,0.0,-0.7717255717255613,-0.7420952380952189,0.8995633187772926,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.0,0.7999959999199984,0.0,0.553846153846153,-0.190476190476242,0.8122270742358079,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.8000160003200064,0.0,0.1480249480249549,1.2068571428571977,1.039301310043668,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
-0.6666666666666666,-0.2000040000800016,0.0,0.6453222453222364,-0.8091428571429012,1.091703056768559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
