iter	Logloss
0	0.6893872228
1	0.6858046959
2	0.6820210424
3	0.6792886668
4	0.6758939809
5	0.6736589629
6	0.6702721694
7	0.6658483703
8	0.6625773989
9	0.6592029045
10	0.6553480214
11	0.6523378964
12	0.648891449
13	0.6454603261
14	0.6416818027
15	0.6401654605
16	0.6369888043
17	0.6339643413
18	0.6319127576
19	0.6288125268
20	0.6268942603
21	0.6249924364
22	0.621518168
23	0.6181968163
24	0.615298041
25	0.6121164519
26	0.6095948713
27	0.6079473824
28	0.6058779749
29	0.6041962196
30	0.6014577931
31	0.5993559607
32	0.5970312316
33	0.5939733571
34	0.5911360116
35	0.5893328436
36	0.5857600508
37	0.5837407605
38	0.5805715364
39	0.5783294152
40	0.5766914631
41	0.5745137313
42	0.5722541151
43	0.570192929
44	0.5682933413
45	0.5658842942
46	0.5641224302
47	0.5617482416
48	0.5596160889
49	0.5572695897
50	0.5548674485
51	0.5531303143
52	0.5504824869
53	0.5479416683
54	0.5455610012
55	0.5437520126
56	0.5421912095
57	0.5407665516
58	0.538963581
59	0.5376363294
60	0.5361929598
61	0.5345777972
62	0.5321651985
63	0.5306391552
64	0.5289251393
65	0.5276032152
66	0.5246643198
67	0.5230264993
68	0.5218863981
69	0.5207846082
70	0.5190349447
71	0.5166641762
72	0.5154521876
73	0.5134024127
74	0.5111669343
75	0.5083089368
76	0.5057222432
77	0.5036905223
78	0.5009616326
79	0.4989735176
80	0.4960211392
81	0.4938348902
82	0.4921267279
83	0.4908561707
84	0.4883771765
85	0.4876130203
86	0.4853342648
87	0.4836231758
88	0.4824194086
89	0.4805417225
90	0.4791798427
91	0.4781555965
92	0.4757431951
93	0.4745881969
94	0.4735513884
95	0.4720278773
96	0.4706100267
97	0.4685200001
98	0.4666959499
99	0.4660106856
100	0.4649875246
101	0.4634886446
102	0.4620985492
103	0.4604854584
104	0.4598825389
105	0.4584589005
106	0.4569870521
107	0.4559188711
108	0.4545480136
109	0.4530397612
110	0.4517194814
111	0.4501224057
112	0.4482520202
113	0.44689971
114	0.4459853337
115	0.4447671956
116	0.4430417686
117	0.4423651531
118	0.4412394557
119	0.4403310973
120	0.4394664107
121	0.4383311765
122	0.4368721534
123	0.4349376415
124	0.4339763378
125	0.4331289489
126	0.4323000415
127	0.4316267145
128	0.4304689868
129	0.4288360333
130	0.4278218828
131	0.4269045139
132	0.4259825739
133	0.4253157583
134	0.4239593374
135	0.4230666654
136	0.422213653
137	0.4206156895
138	0.41956428
139	0.418427007
140	0.4174892162
141	0.4162607851
142	0.4146781132
143	0.4139458229
144	0.4135281464
145	0.4122228951
146	0.4112343953
147	0.4096746116
148	0.4083856056
149	0.4075372959
150	0.4061842951
151	0.4046067863
152	0.4038464776
153	0.4030823543
154	0.4017099183
155	0.4005580442
156	0.3990618607
157	0.3979584924
158	0.3966766226
159	0.395289158
160	0.3945632145
161	0.3932335952
162	0.3927406443
163	0.3918921372
164	0.3901967673
165	0.3889773139
166	0.3884735436
167	0.3871627676
168	0.3866376219
169	0.385555366
170	0.3851822162
171	0.383952371
172	0.3832536566
173	0.3825058115
174	0.3815147137
175	0.3808120201
176	0.3799802188
177	0.378974783
178	0.3785380659
179	0.3777484894
180	0.3770442831
181	0.3762266554
182	0.3757035486
183	0.3753424677
184	0.3748101202
185	0.3737568691
186	0.3732200491
187	0.3721297692
188	0.3717871041
189	0.3708645393
190	0.370068287
191	0.369217182
192	0.3687636277
193	0.3673514004
194	0.3667951123
195	0.366342709
196	0.3656646465
197	0.3647378724
198	0.3642261768
199	0.3637971549
200	0.3630555252
201	0.3621654839
202	0.3616987755
203	0.3608610219
204	0.3604608075
205	0.3595914512
206	0.3587017717
207	0.3584356637
208	0.3578979229
209	0.3573433449
210	0.3567942258
211	0.3556925675
212	0.3545961709
213	0.3536544668
214	0.3530502977
215	0.352421629
216	0.3517575428
217	0.3504968841
218	0.3500761164
219	0.349383979
220	0.3484404005
221	0.3479608996
222	0.3469716434
223	0.3463826015
224	0.3456624787
225	0.3444607176
226	0.3439076522
227	0.3434638319
228	0.3421571008
229	0.3409134437
230	0.3401006501
231	0.3394154845
232	0.3389383513
233	0.3384404676
234	0.3376103434
235	0.3370076212
236	0.3356612633
237	0.3351748894
238	0.3342404201
239	0.3340188388
240	0.3334732385
241	0.3325358753
242	0.3316902621
243	0.3310842843
244	0.3307825944
245	0.3304407186
246	0.330176189
247	0.3296605801
248	0.329223304
249	0.3286550456
250	0.3277101188
251	0.3267936049
252	0.3266553221
253	0.3258212846
254	0.3251847234
255	0.3246876947
256	0.3241360105
257	0.3237094221
258	0.3232725407
259	0.3225612969
260	0.3217510355
261	0.3212099733
262	0.3205685122
263	0.319499542
264	0.3193005529
265	0.3177162368
266	0.3170942109
267	0.3160788109
268	0.3156116091
269	0.3149706084
270	0.3140378492
271	0.3136125762
272	0.3132278179
273	0.3129538832
274	0.3125818516
275	0.3117476496
276	0.3114383303
277	0.310810418
278	0.310192437
279	0.3097624943
280	0.3091963406
281	0.3089488786
282	0.3083334627
283	0.307362984
284	0.3069360667
285	0.3062075582
286	0.3059229357
287	0.305332151
288	0.3050590384
289	0.3046398163
290	0.304403601
291	0.3040405471
292	0.3037765108
293	0.3032117712
294	0.3026771545
295	0.3024590591
296	0.3020222105
297	0.3012872236
298	0.3005913044
299	0.2996887667
300	0.2994940528
301	0.2984930236
302	0.2982377019
303	0.2979283168
304	0.2976324147
305	0.2970953974
306	0.2967352374
307	0.2958710111
308	0.2954038423
309	0.2952067934
310	0.2946203824
311	0.2938647106
312	0.2933062521
313	0.2930981209
314	0.2922834199
315	0.2920054732
316	0.291494238
317	0.2906569448
318	0.2898932161
319	0.289530787
320	0.2889754526
321	0.2888245418
322	0.2885912862
323	0.2880062893
324	0.2874020872
325	0.2871704102
326	0.2867399413
327	0.2860917387
328	0.2856722207
329	0.2854386034
330	0.2851010684
331	0.2848429844
332	0.2845188667
333	0.2842332248
334	0.2837008772
335	0.2831329477
336	0.2826460477
337	0.2820258963
338	0.2818384499
339	0.2815370889
340	0.2808187419
341	0.280663852
342	0.2803283231
343	0.2797999875
344	0.2794914246
345	0.2790684207
346	0.2788352309
347	0.2784334051
348	0.2782776602
349	0.2778809646
350	0.2777336384
351	0.2770697495
352	0.2762090091
353	0.2757776359
354	0.2752157737
355	0.2746636785
356	0.274430275
357	0.273613568
358	0.2733981856
359	0.2731999693
360	0.2729830413
361	0.2723779843
362	0.2721941882
363	0.2717570272
364	0.271048513
365	0.2700725095
366	0.2693743706
367	0.2686001186
368	0.2678724157
369	0.2675385475
370	0.2671648552
371	0.2664905417
372	0.266054992
373	0.2657510988
374	0.2652881063
375	0.2647256687
376	0.2642546193
377	0.2634715376
378	0.2630697777
379	0.262584489
380	0.2621499094
381	0.2617916403
382	0.2614551906
383	0.2611660628
384	0.2607078552
385	0.2604750765
386	0.2601178268
387	0.2597671048
388	0.2594916245
389	0.2591847387
390	0.2587752507
391	0.2580441606
392	0.2578872812
393	0.2573772957
394	0.2569627433
395	0.2567412113
396	0.2562540975
397	0.2558834471
398	0.2553410037
399	0.2549503918
400	0.2546101603
401	0.2544484796
402	0.2541827991
403	0.2537038244
404	0.253402266
405	0.2529298355
406	0.2527845152
407	0.2523170833
408	0.2521767123
409	0.2515657688
410	0.2511908433
411	0.2507273082
412	0.2503556876
413	0.2498967401
414	0.2497373449
415	0.2495006528
416	0.2492493597
417	0.2487879128
418	0.2483506696
419	0.2481842041
420	0.2476842157
421	0.247173408
422	0.2468957408
423	0.2466870176
424	0.246250465
425	0.2460243949
426	0.2457817834
427	0.2456648925
428	0.2454211136
429	0.245223999
430	0.2443922635
431	0.2442061654
432	0.2438808967
433	0.243384723
434	0.243130503
435	0.2428252944
436	0.2425798877
437	0.2421259222
438	0.2414868289
439	0.2413702669
440	0.241114452
441	0.2406851177
442	0.2405258376
443	0.240149202
444	0.2399001286
445	0.2391280799
446	0.2385948773
447	0.2380192033
448	0.2377272474
449	0.237319897
450	0.2368806313
451	0.2365951374
452	0.2364020512
453	0.2360215023
454	0.2354939559
455	0.2350692256
456	0.2343802945
457	0.2339125008
458	0.2335979034
459	0.2330195164
460	0.232561243
461	0.2319639633
462	0.2314969096
463	0.2310463478
464	0.2308557609
465	0.2303721329
466	0.230203349
467	0.2300498568
468	0.2298751371
469	0.2297574076
470	0.2295110966
471	0.229181339
472	0.2284997907
473	0.2280469105
474	0.2275324032
475	0.2271582998
476	0.2268553109
477	0.2262521448
478	0.2260315007
479	0.2254510255
480	0.2249565453
481	0.2247106289
482	0.2244808263
483	0.2242883814
484	0.223897638
485	0.2233462498
486	0.2232572621
487	0.2228226497
488	0.2221028229
489	0.2218742042
490	0.2216698383
491	0.2215647862
492	0.2213956734
493	0.2212060402
494	0.2208994504
495	0.2205188521
496	0.2203576976
497	0.2201718955
498	0.2198908576
499	0.21968197
500	0.2192998755
501	0.2187700929
502	0.218455216
503	0.2183490128
504	0.2181428054
505	0.2180551003
506	0.2176164923
507	0.2173843384
508	0.2171405102
509	0.2169214117
510	0.2167090383
511	0.2165266234
512	0.2160321597
513	0.215872929
514	0.2156997056
515	0.215268727
516	0.2148199081
517	0.2145386729
518	0.2143913466
519	0.2142480324
520	0.2139470824
521	0.2137016921
522	0.213376259
523	0.2131856885
524	0.2128518039
525	0.2127281057
526	0.2125153377
527	0.2123539366
528	0.2119327907
529	0.211831323
530	0.2116012902
531	0.2109819938
532	0.2107695547
533	0.2103820176
534	0.2099994133
535	0.2097644477
536	0.2093003701
537	0.2091658362
538	0.2090557197
539	0.208958001
540	0.2085844237
541	0.208292994
542	0.2078360854
543	0.207638905
544	0.2074044984
545	0.2073541181
546	0.2066932053
547	0.2064821473
548	0.2062348004
549	0.2059056841
550	0.2057737318
551	0.2051817466
552	0.2048299724
553	0.2044737586
554	0.2041434913
555	0.2036584492
556	0.2035089526
557	0.2032834908
558	0.2029432264
559	0.2027529684
560	0.2025927675
561	0.2022897128
562	0.2021390652
563	0.201966187
564	0.2018177263
565	0.2016695615
566	0.2015002678
567	0.2011979202
568	0.2008740326
569	0.200701582
570	0.2006248606
571	0.2005898377
572	0.2002848099
573	0.2001822899
574	0.2001043517
575	0.1996885826
576	0.1991297952
577	0.1986715218
578	0.1985815311
579	0.1983526493
580	0.1980124835
581	0.1975737605
582	0.1974047628
583	0.1973059424
584	0.1972141924
585	0.196918356
586	0.1962639381
587	0.195814034
588	0.1954867922
589	0.1952389684
590	0.1950084423
591	0.1947021813
592	0.1946061397
593	0.1943803491
594	0.194238005
595	0.1938442691
596	0.1934900777
597	0.1933925727
598	0.1930410122
599	0.1925053761
600	0.1921957937
601	0.1920975488
602	0.1918545591
603	0.1917143855
604	0.1915318719
605	0.1911077828
606	0.190739681
607	0.1905633992
608	0.1904600735
609	0.1900423313
610	0.1899533107
611	0.1898244989
612	0.1894817188
613	0.1894060332
614	0.1893115866
615	0.1892250324
616	0.1890020042
617	0.1888374625
618	0.1884657432
619	0.1882733477
620	0.1881279452
621	0.1878615412
622	0.1876523906
623	0.1874931599
624	0.1872625351
625	0.1871804698
626	0.1869840622
627	0.1868442338
628	0.1866250367
629	0.1861717948
630	0.185993063
631	0.1857697388
632	0.185526519
633	0.1853448934
634	0.1852337245
635	0.1850744116
636	0.1847533686
637	0.1845558594
638	0.1842886991
639	0.1840286913
640	0.1837323287
641	0.1834411621
642	0.1831675562
643	0.1828619201
644	0.1822974106
645	0.1819747399
646	0.1816614085
647	0.1813632373
648	0.1811653992
649	0.1810274453
650	0.1808683626
651	0.1806889074
652	0.1803330389
653	0.1800645631
654	0.1796922026
655	0.1795653475
656	0.1793632014
657	0.1791768238
658	0.1790189579
659	0.1788786198
660	0.1785117018
661	0.1782482739
662	0.1779169543
663	0.1777095137
664	0.1775429331
665	0.17727255
666	0.17720673
667	0.1768476552
668	0.1765100216
669	0.1764013356
670	0.17630559
671	0.1759670192
672	0.1757393705
673	0.175593409
674	0.1751031218
675	0.1749157577
676	0.1747503938
677	0.1746249199
678	0.1744684515
679	0.1743236575
680	0.1740190572
681	0.1738883051
682	0.1735845434
683	0.173463361
684	0.1731541403
685	0.1728433412
686	0.1727660936
687	0.1725529967
688	0.1723482362
689	0.1722221539
690	0.1719827652
691	0.1717637161
692	0.1713639457
693	0.1712640401
694	0.17111137
695	0.1708357745
696	0.1706332009
697	0.1703421987
698	0.1702620572
699	0.1699711043
700	0.1698322625
701	0.1695066649
702	0.1693443101
703	0.1692252981
704	0.1687682579
705	0.1686532086
706	0.1682745999
707	0.1681489616
708	0.1679694406
709	0.1677522495
710	0.1676423961
711	0.1673356089
712	0.1672397482
713	0.1669784743
714	0.1666832628
715	0.1663999229
716	0.1660991866
717	0.1659304685
718	0.1656968018
719	0.1655764415
720	0.1653939609
721	0.1650682976
722	0.1647961057
723	0.1644552165
724	0.1640107878
725	0.1638232922
726	0.1635647478
727	0.1633914586
728	0.1633016652
729	0.163064003
730	0.1629399596
731	0.1626211693
732	0.1624931631
733	0.1623179995
734	0.1622066169
735	0.1621499884
736	0.1620479781
737	0.1618041006
738	0.161551903
739	0.1613863419
740	0.1612445897
741	0.160993576
742	0.1605904842
743	0.1604044848
744	0.1601541125
745	0.1598543628
746	0.1594433127
747	0.1592549949
748	0.1591506991
749	0.1588345889
750	0.1586473235
751	0.1585130363
752	0.158474988
753	0.1582125466
754	0.1579122214
755	0.157709319
756	0.1574823445
757	0.1572431531
758	0.1571725319
759	0.1569791169
760	0.1568035586
761	0.156712828
762	0.1565745288
763	0.1563481627
764	0.1562467772
765	0.1560674207
766	0.1558678397
767	0.1557849193
768	0.1556824158
769	0.1556269218
770	0.1553918904
771	0.1551585691
772	0.1548352899
773	0.1546649275
774	0.1544840089
775	0.1543339368
776	0.1541939111
777	0.1541376607
778	0.1539072168
779	0.1537246046
780	0.1535170818
781	0.1533901609
782	0.1533063691
783	0.1531584509
784	0.1530513106
785	0.1529913606
786	0.152711819
787	0.1523750239
788	0.1522089366
789	0.1519329301
790	0.1515588432
791	0.1514082119
792	0.1513134529
793	0.1510417544
794	0.1508118695
795	0.1504698293
796	0.1503866788
797	0.1501913564
798	0.1497962886
799	0.149544831
800	0.1492895258
801	0.1491712373
802	0.1489317335
803	0.1487827137
804	0.1486516657
805	0.1484540413
806	0.1481301867
807	0.1478757529
808	0.1477381608
809	0.1476527905
810	0.1474324917
811	0.147083414
812	0.1467439717
813	0.1467158712
814	0.1464891927
815	0.1463582105
816	0.1460385487
817	0.1457810566
818	0.1456419188
819	0.1454762919
820	0.1452807065
821	0.145116658
822	0.1450094683
823	0.1448852934
824	0.1447374574
825	0.1445784898
826	0.144338246
827	0.1442779179
828	0.1441003701
829	0.143899934
830	0.1437003037
831	0.1435353509
832	0.1433699871
833	0.1431927845
834	0.1428954684
835	0.1427207158
836	0.1423976668
837	0.1422154328
838	0.1420331495
839	0.1419307775
840	0.141752243
841	0.1416170186
842	0.1414418056
843	0.1413498911
844	0.141223184
845	0.1409244537
846	0.1407380926
847	0.1405416686
848	0.1403416107
849	0.1400294468
850	0.1397917846
851	0.1396906129
852	0.1395805786
853	0.139491147
854	0.1392703714
855	0.1391401291
856	0.1389509727
857	0.1387594157
858	0.1386335307
859	0.1383925635
860	0.1382831541
861	0.1381566607
862	0.1380874371
863	0.1379315935
864	0.1376484345
865	0.1374215258
866	0.1372305689
867	0.1369496543
868	0.1366982707
869	0.136442316
870	0.136324603
871	0.1362277886
872	0.1361316319
873	0.135912887
874	0.1356955643
875	0.1354641997
876	0.1352528457
877	0.1350971666
878	0.1348446978
879	0.1346206254
880	0.1343721357
881	0.1341960184
882	0.134003261
883	0.1337801341
884	0.133685482
885	0.1335300413
886	0.1333391584
887	0.1331684507
888	0.1329738518
889	0.1329148638
890	0.1327470335
891	0.1326828825
892	0.1325451588
893	0.1324562944
894	0.1321226317
895	0.1319762674
896	0.1319016999
897	0.1317718111
898	0.1316238601
899	0.1314437307
900	0.1313773517
901	0.1312149147
902	0.1311775323
903	0.1311096652
904	0.1310339467
905	0.1308778648
906	0.1307355782
907	0.1305041149
908	0.1302371601
909	0.1299881195
910	0.1298629251
911	0.1297519289
912	0.1295764528
913	0.1294168933
914	0.1292096582
915	0.1291123752
916	0.1290148373
917	0.1288034505
918	0.1286834108
919	0.1285890711
920	0.1283619815
921	0.1282775155
922	0.1280407741
923	0.1277965677
924	0.1276747276
925	0.1275522956
926	0.1271703325
927	0.1268796756
928	0.1267062056
929	0.1265003023
930	0.1263936306
931	0.1261614273
932	0.1259705692
933	0.1257241348
934	0.1255982498
935	0.125428693
936	0.1252624166
937	0.1251358657
938	0.1249815678
939	0.1248836846
940	0.1247039828
941	0.1244556328
942	0.1241740029
943	0.124040209
944	0.1238529847
945	0.1236832717
946	0.1235575758
947	0.1233513109
948	0.1231422753
949	0.1230497114
950	0.1227020724
951	0.1224592308
952	0.1222409709
953	0.1221660992
954	0.1220318367
955	0.1219880663
956	0.1218487559
957	0.1217491545
958	0.1216659381
959	0.121447333
960	0.1213681862
961	0.1212147433
962	0.1209960806
963	0.120814866
964	0.1206869421
965	0.1205622492
966	0.1204112809
967	0.1202674241
968	0.1201704288
969	0.1200006173
970	0.1198314634
971	0.1196809308
972	0.1195622148
973	0.1192892502
974	0.1191026013
975	0.1188917078
976	0.1187460587
977	0.1186628999
978	0.1184973141
979	0.1182988348
980	0.1181707218
981	0.1179575756
982	0.1177878462
983	0.1176638768
984	0.1175459089
985	0.1173799367
986	0.1172838869
987	0.1171400629
988	0.1170382664
989	0.1169578782
990	0.1167948246
991	0.116681658
992	0.1165298676
993	0.1163418868
994	0.1162091041
995	0.1160585798
996	0.115896373
997	0.115829476
998	0.11573743
999	0.1155746723
