iter	Passed	Remaining
190	395	1675
191	397	1672
192	399	1669
193	402	1672
194	404	1669
195	406	1666
196	408	1663
197	409	1660
198	411	1657
199	413	1654
200	415	1650
201	418	1654
202	420	1651
203	422	1648
204	424	1645
205	425	1640
206	427	1637
207	428	1633
208	430	1629
209	433	1629
210	435	1629
211	437	1626
212	439	1624
213	441	1621
214	443	1618
215	445	1615
216	446	1612
217	449	1613
218	451	1611
219	453	1608
220	455	1605
221	457	1602
222	458	1598
223	460	1595
224	462	1592
225	464	1589
226	466	1587
227	467	1584
228	469	1581
229	471	1577
230	472	1574
231	474	1571
232	476	1568
233	477	1563
234	481	1566
235	483	1563
236	484	1560
237	486	1557
238	488	1554
239	490	1551
240	491	1548
241	493	1545
242	497	1548
243	498	1545
244	500	1542
245	501	1538
246	503	1535
247	505	1533
248	507	1531
249	509	1528
250	513	1533
251	515	1531
252	517	1529
253	519	1526
254	521	1524
255	523	1522
256	525	1520
257	529	1523
258	531	1521
259	534	1522
260	536	1519
261	538	1517
262	540	1513
263	541	1510
264	545	1511
265	546	1509
266	548	1506
267	550	1503
268	552	1500
269	554	1498
270	555	1495
271	557	1491
272	560	1492
273	562	1490
274	564	1487
275	566	1484
276	567	1482
277	569	1479
278	571	1477
279	573	1474
280	576	1476
281	578	1472
282	580	1470
283	582	1467
284	584	1465
285	585	1462
286	587	1459
287	589	1456
288	592	1457
289	594	1455
290	595	1451
291	597	1448
292	599	1446
293	601	1443
294	602	1440
295	604	1437
296	608	1439
297	610	1437
298	612	1435
299	613	1432
300	615	1430
301	617	1427
302	619	1425
303	621	1422
304	624	1421
305	626	1420
306	628	1417
307	630	1415
308	631	1412
309	634	1412
310	636	1409
311	638	1407
312	640	1406
313	642	1404
314	644	1402
315	648	1402
316	649	1399
317	651	1397
318	653	1394
319	657	1398
320	659	1395
321	661	1393
322	663	1391
323	665	1388
324	667	1386
325	669	1383
326	674	1388
327	676	1386
328	678	1383
329	680	1381
330	682	1379
331	684	1376
332	686	1375
333	690	1376
334	692	1374
335	694	1371
336	696	1369
337	697	1366
338	699	1363
339	701	1360
340	702	1358
341	705	1358
342	707	1355
343	710	1354
344	711	1351
345	713	1348
346	715	1346
347	719	1348
348	722	1347
349	724	1345
350	726	1343
351	728	1340
352	730	1338
353	732	1336
354	735	1336
355	738	1335
356	740	1333
357	742	1331
358	744	1329
359	746	1327
360	749	1326
361	752	1326
362	754	1324
363	756	1321
364	758	1319
365	760	1316
366	762	1314
367	764	1312
368	768	1313
369	770	1311
370	772	1309
371	774	1307
372	776	1305
373	778	1303
374	781	1303
375	784	1301
376	786	1299
377	788	1296
378	789	1294
379	791	1292
380	793	1289
381	795	1287
382	800	1288
383	801	1286
384	803	1284
385	805	1281
386	807	1279
387	809	1276
388	811	1274
389	814	1274
390	816	1271
391	818	1269
392	820	1266
393	821	1264
394	823	1261
395	825	1259
396	827	1256
397	830	1256
398	833	1254
399	835	1252
400	836	1250
401	838	1247
402	840	1244
403	842	1242
404	844	1240
405	846	1238
406	848	1236
407	850	1234
408	852	1231
409	854	1229
410	856	1227
411	858	1224
412	860	1222
413	863	1222
414	865	1219
415	867	1217
416	869	1215
417	871	1212
418	872	1210
419	874	1207
420	877	1207
421	879	1205
422	881	1202
423	882	1199
424	884	1196
425	886	1194
426	888	1191
427	889	1189
428	891	1186
429	895	1186
430	896	1184
431	898	1181
432	900	1178
433	901	1175
434	903	1173
435	905	1170
436	906	1168
437	910	1167
438	912	1165
439	913	1163
440	915	1160
441	917	1158
442	919	1155
443	920	1153
444	922	1150
445	925	1149
446	927	1147
447	929	1145
448	931	1143
449	933	1141
450	934	1138
451	936	1135
452	938	1133
453	942	1133
454	944	1130
455	946	1128
456	947	1126
457	949	1124
458	951	1121
459	953	1119
460	955	1117
461	959	1116
462	960	1114
463	962	1112
464	964	1110
465	966	1107
466	968	1105
467	970	1103
468	973	1102
469	977	1101
470	979	1100
471	981	1098
472	983	1096
473	985	1093
474	987	1091
475	991	1091
476	993	1089
477	999	1091
478	1002	1089
479	1003	1087
480	1007	1087
481	1009	1085
482	1012	1083
483	1018	1085
484	1021	1084
485	1023	1082
486	1025	1080
487	1028	1078
488	1032	1079
489	1035	1077
490	1037	1075
491	1040	1073
492	1042	1071
493	1053	1079
494	1057	1079
495	1065	1082
496	1067	1080
497	1121	1130
498	1123	1128
499	1125	1125
500	1132	1128
501	1135	1126
502	1137	1123
503	1139	1121
504	1143	1120
505	1181	1153
506	1183	1150
507	1185	1148
508	1187	1145
509	1190	1143
510	1191	1140
511	1210	1153
512	1213	1151
513	1214	1148
514	1216	1146
515	1219	1144
516	1221	1141
517	1223	1138
518	1225	1136
519	1229	1134
520	1231	1131
521	1232	1129
522	1234	1126
523	1236	1123
524	1238	1120
525	1240	1118
526	1243	1116
527	1245	1113
528	1247	1110
529	1249	1108
530	1251	1105
531	1253	1102
532	1255	1099
533	1256	1096
534	1260	1095
535	1262	1092
536	1264	1089
537	1265	1087
538	1267	1084
539	1269	1081
540	1271	1078
541	1273	1075
542	1277	1074
543	1279	1072
544	1281	1069
545	1283	1067
546	1286	1065
547	1288	1062
548	1292	1061
549	1298	1062
550	1302	1061
551	1306	1060
552	1311	1059
553	1313	1057
554	1315	1054
555	1317	1052
556	1319	1049
557	1321	1046
558	1325	1045
559	1328	1043
560	1331	1041
561	1334	1039
562	1336	1037
563	1343	1038
564	1346	1036
565	1349	1034
566	1352	1032
567	1357	1032
568	1361	1031
569	1366	1030
570	1369	1029
571	1376	1030
572	1379	1028
573	1383	1026
574	1385	1024
575	1391	1024
576	1395	1023
577	1399	1021
578	1401	1019
579	1408	1019
580	1410	1017
581	1415	1016
582	1418	1014
583	1423	1013
584	1426	1012
585	1429	1009
586	1430	1006
587	1432	1004
588	1437	1002
589	1440	1000
590	1443	998
591	1447	997
592	1449	994
593	1455	994
594	1457	992
595	1461	990
596	1463	988
597	1465	985
598	1471	985
599	1473	982
600	1476	979
601	1478	977
602	1482	975
603	1484	973
604	1486	970
605	1489	968
606	1490	965
607	1492	962
608	1497	961
609	1500	959
610	1504	957
611	1506	955
612	1512	954
613	1514	952
614	1518	950
615	1520	948
616	1523	945
617	1526	943
618	1529	941
619	1531	938
620	1532	935
621	1534	932
622	1536	929
623	1538	926
624	1540	924
625	1544	922
626	1546	919
627	1548	917
628	1550	914
629	1552	911
630	1554	909
631	1559	908
632	1562	905
633	1564	903
634	1566	900
635	1568	897
636	1570	894
637	1573	893
638	1575	890
639	1578	887
640	1580	885
641	1582	882
642	1584	879
643	1586	877
644	1590	875
645	1593	873
646	1598	872
647	1601	869
648	1603	866
649	1607	865
650	1610	863
651	1612	860
652	1615	858
653	1618	856
654	1622	854
655	1624	852
656	1626	849
657	1628	846
658	1630	843
659	1632	841
660	1634	838
661	1638	836
662	1640	834
663	1643	831
664	1645	829
665	1647	826
666	1650	823
667	1655	822
668	1657	820
669	1660	817
670	1662	815
671	1665	812
672	1667	810
673	1670	807
674	1671	804
675	1674	802
676	1676	799
677	1678	797
678	1680	794
679	1683	792
680	1686	789
681	1689	787
682	1691	785
683	1694	783
684	1696	780
685	1701	778
686	1703	776
687	1705	773
688	1707	770
689	1709	768
690	1711	765
691	1713	762
692	1716	760
693	1718	757
694	1721	755
695	1724	753
696	1726	750
697	1728	747
698	1730	745
699	1734	743
700	1736	740
701	1739	738
702	1741	735
703	1743	733
704	1745	730
705	1750	728
706	1752	726
707	1754	723
708	1756	721
709	1758	718
710	1761	715
711	1766	714
712	1768	711
713	1770	709
714	1773	707
715	1776	704
716	1783	703
717	1785	701
718	1789	699
719	1792	697
720	1798	696
721	1802	693
722	1804	691
723	1807	689
724	1809	686
725	1813	684
726	1816	682
727	1818	679
728	1820	676
729	1823	674
730	1826	671
731	1833	671
732	1835	668
733	1841	667
734	1847	666
735	1850	663
736	1852	661
737	1854	658
738	1857	655
739	1858	653
740	1863	651
741	1865	648
742	1868	646
743	1870	643
744	1873	641
745	1877	639
746	1880	636
747	1881	634
748	1883	631
749	1885	628
750	1888	626
751	1890	623
752	1893	621
753	1895	618
754	1897	615
755	1900	613
756	1902	610
757	1904	607
758	1905	605
759	1908	602
760	1911	600
761	1913	597
762	1915	595
763	1917	592
764	1919	589
765	1921	587
766	1923	584
767	1927	582
768	1929	579
769	1931	576
770	1933	574
771	1935	571
772	1937	568
773	1940	566
774	1943	564
775	1945	561
776	1947	558
777	1949	556
778	1951	553
779	1953	551
780	1956	548
781	1958	546
782	1960	543
783	1962	540
784	1964	538
785	1966	535
786	1968	532
787	1970	530
788	1974	527
789	1976	525
790	1978	522
791	1980	520
792	1982	517
793	1984	514
794	1987	512
795	1989	509
796	1991	507
797	1994	504
798	1996	502
799	1998	499
800	1999	496
801	2001	494
802	2005	491
803	2006	489
804	2008	486
805	2010	483
806	2012	481
807	2014	478
808	2015	475
809	2017	473
810	2021	471
811	2023	468
812	2025	465
813	2027	463
814	2029	460
815	2031	458
816	2033	455
817	2036	453
818	2038	450
819	2040	447
820	2042	445
821	2043	442
822	2045	439
823	2047	437
824	2049	434
825	2052	432
826	2054	429
827	2056	427
828	2057	424
829	2059	421
830	2061	419
831	2063	416
832	2065	414
833	2068	411
834	2070	409
835	2072	406
836	2074	404
837	2076	401
838	2078	398
839	2080	396
840	2083	393
841	2085	391
842	2087	388
843	2089	386
844	2091	383
845	2092	380
846	2094	378
847	2096	375
848	2099	373
849	2101	370
850	2103	368
851	2105	365
852	2107	363
853	2109	360
854	2110	358
855	2112	355
856	2115	353
857	2117	350
858	2119	347
859	2121	345
860	2123	342
861	2125	340
862	2127	337
863	2129	335
864	2132	332
865	2134	330
866	2136	327
867	2138	325
868	2140	322
869	2142	320
870	2144	317
871	2147	315
872	2149	312
873	2151	310
874	2153	307
875	2155	305
876	2157	302
877	2159	300
878	2161	297
879	2164	295
880	2166	292
881	2168	290
882	2170	287
883	2172	285
884	2174	282
885	2176	280
886	2180	277
887	2182	275
888	2184	272
889	2187	270
890	2188	267
891	2190	265
892	2193	262
893	2196	260
894	2198	257
895	2200	255
896	2202	252
897	2204	250
898	2206	247
899	2208	245
900	2214	243
901	2216	240
902	2218	238
903	2221	235
904	2223	233
905	2224	230
906	2228	228
907	2233	226
908	2235	223
909	2237	221
910	2239	218
911	2240	216
912	2244	213
913	2247	211
914	2249	208
915	2251	206
916	2253	203
917	2255	201
918	2257	198
919	2262	196
920	2264	194
921	2266	191
922	2268	189
923	2270	186
924	2271	184
925	2274	181
926	2277	179
927	2279	176
928	2281	174
929	2284	171
930	2285	169
931	2287	166
932	2292	164
933	2294	162
934	2296	159
935	2298	157
936	2300	154
937	2302	152
938	2303	149
939	2306	147
940	2309	144
941	2311	142
942	2312	139
943	2314	137
944	2316	134
945	2318	132
946	2320	129
947	2323	127
948	2325	124
949	2327	122
950	2329	120
951	2331	117
952	2333	115
953	2336	112
954	2338	110
955	2340	107
956	2342	105
957	2344	102
958	2346	100
959	2347	97
960	2349	95
961	2353	92
962	2355	90
963	2356	88
964	2358	85
965	2360	83
966	2362	80
967	2363	78
968	2365	75
969	2369	73
970	2371	70
971	2373	68
972	2375	65
973	2377	63
974	2379	61
975	2380	58
976	2384	56
977	2386	53
978	2388	51
979	2390	48
980	2391	46
981	2393	43
982	2395	41
983	2397	38
984	2400	36
985	2402	34
986	2404	31
987	2406	29
988	2408	26
989	2410	24
990	2411	21
991	2413	19
992	2417	17
993	2419	14
994	2421	12
995	2422	9
996	2424	7
997	2426	4
998	2428	2
999	2430	0
